id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,Rentabilite_possessions_equipe,Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,Rentabilite_temps_opp,Differentiel_rentabilite_temps,True_Shooting_equipe_%,True_Shooting_opp_%,Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,Differentiel_Pts_Tirs_Tentes
JB-3SJB-8UJB-34KJB-5BJB-13C,"3 M. Salash, 8 J. Usher, 34 K. Kokila, 5 H. Benitez, 13 X. Castaneda",3,62:15,172,123,95,34,69,25,36.2,26,9,34.6,58,46,79.3,59,20,39,32,11,24,33,146,120,93,44,57,31,54.4,36,13,36.1,34,19,55.9,51,13,38,35,10,22,50,JL Bourg-en-Bresse,Betclic Elite,3 M. Salash,8 J. Usher,34 K. Kokila,5 H. Benitez,13 X. Castaneda,JB-3S,JB-8U,JB-34K,JB-5B,JB-13C,3735.0,71.51162790697676,82.1917808219178,-10.680152914941047,110.52208835341365,93.81526104417671,16.706827309236942,51.02887487553933,55.576139310855865,-4.547264435316535,102.05774975107866,111.15227862171173,-9.09452887063307
JB-11AJB-3SJB-8UJB-34KJB-13C,"11 J. Ayayi, 3 M. Salash, 8 J. Usher, 34 K. Kokila, 13 X. Castaneda",17,39:09,94,96,58,34,41,27,65.9,17,7,41.2,27,21,77.8,27,4,23,25,8,8,21,88,79,50,27,25,16,64.0,25,11,44.0,17,14,82.4,17,2,15,21,3,18,29,JL Bourg-en-Bresse,Betclic Elite,11 J. Ayayi,3 M. Salash,8 J. Usher,34 K. Kokila,13 X. Castaneda,JB-11A,JB-3S,JB-8U,JB-34K,JB-13C,2349.0,102.12765957446808,89.77272727272727,12.354932301740817,96.04086845466156,89.91060025542784,6.130268199233726,68.68918145392101,68.7195546276966,-0.030373173775586793,137.37836290784202,137.4391092553932,-0.060746347551173585
JB-11AJB-8UJB-34KJB-13CJB-4N,"11 J. Ayayi, 8 J. Usher, 34 K. Kokila, 13 X. Castaneda, 4 A. Nelson",-1,22:01,57,56,35,19,18,11,61.1,17,8,47.1,14,10,71.4,17,5,12,15,2,5,16,55,57,38,20,27,16,59.3,11,4,36.4,19,13,68.4,16,5,11,16,2,4,11,JL Bourg-en-Bresse,Betclic Elite,11 J. Ayayi,8 J. Usher,34 K. Kokila,13 X. Castaneda,4 A. Nelson,JB-11A,JB-8U,JB-34K,JB-13C,JB-4N,1321.0,98.24561403508771,103.63636363636364,-5.390749601275928,103.55791067373202,99.92429977289932,3.633610900832707,68.02721088435375,61.47540983606557,6.551801048288176,136.0544217687075,122.95081967213115,13.103602096576353
JB-11AJB-27PJB-10NJB-33PJB-4N,"11 J. Ayayi, 27 J. Pansa, 10 M. Ngouama, 33 B. Paul, 4 A. Nelson",0,21:09,56,36,32,12,23,11,47.8,9,1,11.1,16,11,68.8,22,7,15,12,4,12,12,53,36,37,14,24,10,41.7,13,4,30.8,6,4,66.7,13,4,9,11,7,6,15,JL Bourg-en-Bresse,Betclic Elite,11 J. Ayayi,27 J. Pansa,10 M. Ngouama,33 B. Paul,4 A. Nelson,JB-11A,JB-27P,JB-10N,JB-33P,JB-4N,1269.0,64.28571428571429,67.9245283018868,-3.6388140161725033,105.91016548463357,100.23640661938533,5.673758865248232,46.10655737704918,45.40867810292634,0.6978792741228403,92.21311475409836,90.81735620585268,1.3957585482456807
JB-8UJB-34KJB-5BJB-13CJB-4N,"8 J. Usher, 34 K. Kokila, 5 H. Benitez, 13 X. Castaneda, 4 A. Nelson",-6,16:15,38,35,22,10,14,8,57.1,8,2,25.0,15,13,86.7,11,4,7,5,1,6,17,41,41,23,13,13,9,69.2,10,4,40.0,16,11,68.8,10,2,8,11,0,7,14,JL Bourg-en-Bresse,Betclic Elite,8 J. Usher,34 K. Kokila,5 H. Benitez,13 X. Castaneda,4 A. Nelson,JB-8U,JB-34K,JB-5B,JB-13C,JB-4N,975.0,92.10526315789474,100.0,-7.89473684210526,93.53846153846155,100.92307692307692,-7.384615384615373,61.18881118881119,68.24234354194407,-7.05353235313288,122.37762237762237,136.48468708388813,-14.10706470626576
JB-3SJB-27PJB-8UJB-5BJB-13C,"3 M. Salash, 27 J. Pansa, 8 J. Usher, 5 H. Benitez, 13 X. Castaneda",-1,15:54,40,41,25,13,18,11,61.1,7,2,28.6,23,13,56.5,14,3,11,9,3,4,6,43,42,32,16,18,12,66.7,14,4,28.6,6,6,100.0,18,4,14,7,2,6,13,JL Bourg-en-Bresse,Betclic Elite,3 M. Salash,27 J. Pansa,8 J. Usher,5 H. Benitez,13 X. Castaneda,JB-3S,JB-27P,JB-8U,JB-5B,JB-13C,954.0,102.49999999999999,97.67441860465115,4.825581395348834,100.62893081761007,108.17610062893083,-7.547169811320757,58.37129840546697,60.623556581986136,-2.252258176519163,116.74259681093395,121.24711316397227,-4.504516353038326
JB-3SJB-8UJB-5BJB-13CJB-4N,"3 M. Salash, 8 J. Usher, 5 H. Benitez, 13 X. Castaneda, 4 A. Nelson",24,15:22,43,46,29,17,20,14,70.0,9,3,33.3,10,9,90.0,20,7,13,8,4,2,5,32,22,23,7,13,4,30.8,10,3,30.0,5,5,100.0,7,2,5,3,0,5,12,JL Bourg-en-Bresse,Betclic Elite,3 M. Salash,8 J. Usher,5 H. Benitez,13 X. Castaneda,4 A. Nelson,JB-3S,JB-8U,JB-5B,JB-13C,JB-4N,922.0,106.9767441860465,68.75,38.2267441860465,111.93058568329717,83.29718004338395,28.63340563991322,68.8622754491018,43.65079365079365,25.21148179830815,137.7245508982036,87.3015873015873,50.4229635966163
JB-27PJB-7CJB-5BJB-33PJB-4N,"27 J. Pansa, 7 M. Courby, 5 H. Benitez, 33 B. Paul, 4 A. Nelson",-13,11:53,33,14,19,5,13,4,30.8,6,1,16.7,4,3,75.0,11,5,6,5,2,4,8,30,27,17,9,12,6,50.0,5,3,60.0,8,6,75.0,11,3,8,3,1,2,4,JL Bourg-en-Bresse,Betclic Elite,27 J. Pansa,7 M. Courby,5 H. Benitez,33 B. Paul,4 A. Nelson,JB-27P,JB-7C,JB-5B,JB-33P,JB-4N,713.0,42.42424242424242,90.0,-47.57575757575758,111.07994389901823,100.98176718092566,10.098176718092574,33.71868978805394,65.78947368421053,-32.07078389615659,67.43737957610789,131.57894736842107,-64.14156779231318
JB-11AJB-27PJB-8UJB-13CJB-4N,"11 J. Ayayi, 27 J. Pansa, 8 J. Usher, 13 X. Castaneda, 4 A. Nelson",0,10:35,27,27,18,9,6,4,66.7,12,5,41.7,4,4,100.0,6,2,4,7,2,3,7,23,27,13,10,9,7,77.8,4,3,75.0,5,4,80.0,5,0,5,7,1,2,5,JL Bourg-en-Bresse,Betclic Elite,11 J. Ayayi,27 J. Pansa,8 J. Usher,13 X. Castaneda,4 A. Nelson,JB-11A,JB-27P,JB-8U,JB-13C,JB-4N,635.0,100.0,117.3913043478261,-17.391304347826093,102.04724409448819,86.92913385826772,15.118110236220474,68.31983805668015,88.81578947368422,-20.495951417004065,136.6396761133603,177.63157894736844,-40.99190283400813
