id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,Rentabilite_possessions_equipe,Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,Rentabilite_temps_opp,Differentiel_rentabilite_temps,True_Shooting_equipe_%,True_Shooting_opp_%,Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,Differentiel_Pts_Tirs_Tentes
LRR-33HLRR-35NLRR-69HLRR-13BLRR-3S,"33 R. Hawkins, 35 J. Niziol, 69 L. Hergott, 13 J. Belo-Osagie, 3 S. Sessoms",-22,71:56,169,125,104,44,59,32,54.2,45,12,26.7,31,25,80.6,51,7,44,31,12,24,35,163,147,114,51,68,33,48.5,46,18,39.1,37,27,73.0,60,9,51,34,11,18,39,La Rochelle Rupella,Betclic Elite,33 R. Hawkins,35 J. Niziol,69 L. Hergott,13 J. Belo-Osagie,3 S. Sessoms,LRR-33H,LRR-35N,LRR-69H,LRR-13B,LRR-3S,4316.0,73.96449704142012,90.1840490797546,-16.219552038334484,93.97590361445783,90.63948100092679,3.3364226135310417,53.12818769126147,56.41694811175929,-3.288760420497816,106.25637538252295,112.83389622351858,-6.577520840995632
LRR-35NLRR-20LLRR-10CLRR-21MLRR-5S,"35 J. Niziol, 20 M. Leray, 10 G. Clerc, 21 C. Moore, 5 J. Sanchez",-5,16:34,37,26,24,9,16,7,43.8,8,2,25.0,10,6,60.0,10,1,9,8,4,5,7,42,31,25,10,19,8,42.1,6,2,33.3,11,9,81.8,19,4,15,7,1,8,9,La Rochelle Rupella,Betclic Elite,35 J. Niziol,20 M. Leray,10 G. Clerc,21 C. Moore,5 J. Sanchez,LRR-35N,LRR-20L,LRR-10C,LRR-21M,LRR-5S,994.0,70.27027027027027,73.80952380952381,-3.5392535392535365,89.33601609657948,101.40845070422534,-12.07243460764586,45.774647887323944,51.94369973190348,-6.169051844579535,91.54929577464789,103.88739946380696,-12.33810368915907
LRR-33HLRR-35NLRR-4CLRR-13BLRR-3S,"33 R. Hawkins, 35 J. Niziol, 4 T. Cheese, 13 J. Belo-Osagie, 3 S. Sessoms",-4,13:22,32,22,21,8,12,6,50.0,9,2,22.2,7,4,57.1,7,3,4,6,2,2,5,32,26,21,11,11,7,63.6,10,4,40.0,0,0,0.0,12,5,7,5,2,4,7,La Rochelle Rupella,Betclic Elite,33 R. Hawkins,35 J. Niziol,4 T. Cheese,13 J. Belo-Osagie,3 S. Sessoms,LRR-33H,LRR-35N,LRR-4C,LRR-13B,LRR-3S,802.0,68.75,81.25,-12.5,95.76059850374065,95.76059850374065,0.0,45.68106312292359,61.904761904761905,-16.223698781838316,91.36212624584718,123.80952380952381,-32.44739756367663
LRR-20LLRR-21MLRR-69HLRR-13BLRR-3S,"20 M. Leray, 21 C. Moore, 69 L. Hergott, 13 J. Belo-Osagie, 3 S. Sessoms",7,13:15,34,29,21,12,15,11,73.3,6,1,16.7,5,4,80.0,11,1,10,10,4,6,5,34,22,22,8,11,4,36.4,11,4,36.4,2,2,100.0,11,2,9,6,4,7,7,La Rochelle Rupella,Betclic Elite,20 M. Leray,21 C. Moore,69 L. Hergott,13 J. Belo-Osagie,3 S. Sessoms,LRR-20L,LRR-21M,LRR-69H,LRR-13B,LRR-3S,795.0,85.29411764705883,64.70588235294117,20.588235294117652,102.64150943396226,102.64150943396226,0.0,62.5,48.07692307692308,14.42307692307692,125.0,96.15384615384616,28.84615384615384
LRR-33HLRR-35NLRR-20LLRR-13BLRR-3S,"33 R. Hawkins, 35 J. Niziol, 20 M. Leray, 13 J. Belo-Osagie, 3 S. Sessoms",-17,12:17,28,18,19,8,12,8,66.7,7,0,0.0,2,2,100.0,7,0,7,8,2,3,6,31,35,23,13,12,6,50.0,11,7,63.6,3,2,66.7,15,4,11,7,1,3,5,La Rochelle Rupella,Betclic Elite,33 R. Hawkins,35 J. Niziol,20 M. Leray,13 J. Belo-Osagie,3 S. Sessoms,LRR-33H,LRR-35N,LRR-20L,LRR-13B,LRR-3S,737.0,64.28571428571429,112.90322580645163,-48.61751152073734,91.18046132971506,100.94979647218454,-9.769335142469487,45.271629778672036,71.95723684210526,-26.685607063433224,90.54325955734407,143.91447368421052,-53.37121412686645
LRR-33HLRR-69HLRR-4CLRR-13BLRR-3S,"33 R. Hawkins, 69 L. Hergott, 4 T. Cheese, 13 J. Belo-Osagie, 3 S. Sessoms",-13,11:59,25,15,15,5,11,5,45.5,4,0,0.0,6,5,83.3,5,0,5,4,2,3,5,28,28,18,11,11,7,63.6,7,4,57.1,2,2,100.0,12,2,10,6,3,5,8,La Rochelle Rupella,Betclic Elite,33 R. Hawkins,69 L. Hergott,4 T. Cheese,13 J. Belo-Osagie,3 S. Sessoms,LRR-33H,LRR-69H,LRR-4C,LRR-13B,LRR-3S,719.0,60.0,100.0,-40.0,83.44923504867872,93.46314325452016,-10.013908205841446,42.517006802721085,74.15254237288136,-31.635535570160272,85.03401360544217,148.3050847457627,-63.271071140320544
LRR-35NLRR-20LLRR-10CLRR-21MLRR-13B,"35 J. Niziol, 20 M. Leray, 10 G. Clerc, 21 C. Moore, 13 J. Belo-Osagie",2,10:57,26,27,14,7,4,2,50.0,10,5,50.0,9,8,88.9,4,0,4,5,4,5,6,25,25,14,8,11,6,54.5,3,2,66.7,9,7,77.8,9,3,6,3,1,5,5,La Rochelle Rupella,Betclic Elite,35 J. Niziol,20 M. Leray,10 G. Clerc,21 C. Moore,13 J. Belo-Osagie,LRR-35N,LRR-20L,LRR-10C,LRR-21M,LRR-13B,657.0,103.84615384615385,100.0,3.846153846153854,94.97716894977168,91.32420091324201,3.6529680365296713,75.16703786191536,69.59910913140311,5.56792873051225,150.33407572383072,139.19821826280622,11.1358574610245
LRR-33HLRR-35NLRR-20LLRR-69HLRR-13B,"33 R. Hawkins, 35 J. Niziol, 20 M. Leray, 69 L. Hergott, 13 J. Belo-Osagie",-16,10:43,20,10,14,2,5,1,20.0,9,1,11.1,8,5,62.5,5,0,5,3,3,2,2,27,26,19,10,11,6,54.5,8,4,50.0,3,2,66.7,16,4,12,8,1,5,4,La Rochelle Rupella,Betclic Elite,33 R. Hawkins,35 J. Niziol,20 M. Leray,69 L. Hergott,13 J. Belo-Osagie,LRR-33H,LRR-35N,LRR-20L,LRR-69H,LRR-13B,643.0,50.0,96.29629629629629,-46.29629629629629,74.65007776049767,100.77760497667185,-26.127527216174187,28.538812785388128,63.976377952755904,-35.43756516736778,57.077625570776256,127.95275590551181,-70.87513033473556
