id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,Rentabilite_possessions_equipe,Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,Rentabilite_temps_opp,Differentiel_rentabilite_temps,True_Shooting_equipe_%,True_Shooting_opp_%,Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,Differentiel_Pts_Tirs_Tentes
AL-7LAL-1HAL-6MAL-23LAL-24N,"7 J. Lauvergne, 1 S. Harrison, 6 T. Maledon, 23 D. Lighty, 24 M. Ndiaye",-3,15:39,41,37,22,14,15,10,66.7,7,4,57.1,7,5,71.4,6,1,5,11,3,8,7,39,40,28,17,20,14,70.0,8,3,37.5,4,3,75.0,13,5,8,11,4,5,12,ASVEL Lyon-Villeurbanne,Betclic Elite,7 J. Lauvergne,1 S. Harrison,6 T. Maledon,23 D. Lighty,24 M. Ndiaye,AL-7L,AL-1H,AL-6M,AL-23L,AL-24N,939.0,90.2439024390244,102.56410256410255,-12.32020012507816,104.79233226837061,99.68051118210862,5.1118210862619975,73.76395534290272,67.20430107526882,6.559654267633903,147.52791068580544,134.40860215053763,13.119308535267805
AL-7LAL-6MAL-3LAL-23LAL-13S,"7 J. Lauvergne, 6 T. Maledon, 3 P. Lee, 23 D. Lighty, 13 N. Sako",4,14:37,32,36,21,13,8,7,87.5,13,6,46.2,4,4,100.0,8,2,6,11,0,4,12,40,32,25,13,16,10,62.5,9,3,33.3,7,3,42.9,11,5,6,8,3,2,8,ASVEL Lyon-Villeurbanne,Betclic Elite,7 J. Lauvergne,6 T. Maledon,3 P. Lee,23 D. Lighty,13 N. Sako,AL-7L,AL-6M,AL-3L,AL-23L,AL-13S,877.0,112.5,80.0,32.5,87.57126567844927,109.46408209806158,-21.892816419612316,79.08611599297012,56.98005698005698,22.106059012913143,158.17223198594024,113.96011396011396,44.212118025826285
AL-1HAL-12CAL-13SAL-17AAL-24N,"1 S. Harrison, 12 N. de Colo, 13 N. Sako, 17 M. PIerre Ajinca, 24 M. Ndiaye",14,11:58,29,29,19,11,6,4,66.7,13,7,53.8,0,0,0.0,15,5,10,9,1,5,3,27,15,20,6,12,4,33.3,8,2,25.0,1,1,100.0,7,4,3,4,2,4,4,ASVEL Lyon-Villeurbanne,Betclic Elite,1 S. Harrison,12 N. de Colo,13 N. Sako,17 M. PIerre Ajinca,24 M. Ndiaye,AL-1H,AL-12C,AL-13S,AL-17A,AL-24N,718.0,100.0,55.55555555555556,44.44444444444444,96.93593314763231,90.25069637883009,6.685236768802227,76.31578947368422,36.692759295499016,39.6230301781852,152.63157894736844,73.38551859099803,79.2460603563704
AL-7LAL-2SAL-6MAL-11JAL-23L,"7 J. Lauvergne, 2 A. Schofield, 6 T. Maledon, 11 E. Jackson, 23 D. Lighty",10,10:28,24,26,16,10,11,7,63.6,5,3,60.0,3,3,100.0,9,0,9,7,1,2,8,21,16,13,5,9,4,44.4,4,1,25.0,10,5,50.0,7,1,6,3,1,2,5,ASVEL Lyon-Villeurbanne,Betclic Elite,7 J. Lauvergne,2 A. Schofield,6 T. Maledon,11 E. Jackson,23 D. Lighty,AL-7L,AL-2S,AL-6M,AL-11J,AL-23L,628.0,108.33333333333333,76.19047619047619,32.14285714285714,91.71974522292993,80.2547770700637,11.464968152866234,75.05773672055427,45.97701149425288,29.080725226301396,150.11547344110855,91.95402298850576,58.16145045260279
