id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,Rentabilite_possessions_equipe,Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,Rentabilite_temps_opp,Differentiel_rentabilite_temps,True_Shooting_equipe_%,True_Shooting_opp_%,Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,Differentiel_Pts_Tirs_Tentes
CB-25NCB-2ICB-5CCB-11ACB-32V,"25 C. Ndow, 2 C. Melvin III, 5 T. Campbell, 11 G. Ayayi, 32 B. Vautier",0,48:05,116,107,75,41,46,28,60.9,29,13,44.8,15,12,80.0,26,8,18,21,8,16,29,115,107,68,38,42,29,69.0,26,9,34.6,25,22,88.0,32,9,23,27,13,21,25,Cholet Basket,Betclic Elite,25 C. Ndow,2 C. Melvin III,5 T. Campbell,11 G. Ayayi,32 B. Vautier,CB-25N,CB-2I,CB-5C,CB-11A,CB-32V,2885.0,92.24137931034483,93.04347826086956,-0.8020989505247371,96.49913344887348,95.66724436741767,0.8318890814558131,65.56372549019608,67.72151898734177,-2.15779349714569,131.12745098039215,135.44303797468353,-4.31558699429138
CB-25NCB-2ICB-11ACB-32VCB-7S,"25 C. Ndow, 2 C. Melvin III, 11 G. Ayayi, 32 B. Vautier, 7 N. De Sousa",-6,39:50,103,79,65,31,44,26,59.1,21,5,23.8,24,12,50.0,43,15,28,27,6,12,22,96,85,63,26,31,14,45.2,32,12,37.5,25,21,84.0,26,9,17,20,6,10,23,Cholet Basket,Betclic Elite,25 C. Ndow,2 C. Melvin III,11 G. Ayayi,32 B. Vautier,7 N. De Sousa,CB-25N,CB-2I,CB-11A,CB-32V,CB-7S,2390.0,76.69902912621359,88.54166666666666,-11.842637540453069,103.43096234309623,96.40167364016736,7.029288702928866,52.276336686077286,57.432432432432435,-5.156095746355149,104.55267337215457,114.86486486486487,-10.312191492710298
CB-21RCB-8MCB-7SCB-12DCB-3S,"21 A. Roberson, 8 J. McNeace, 7 N. De Sousa, 12 M. Diawara, 3 S. Smith",10,17:20,34,38,23,13,14,7,50.0,9,6,66.7,9,6,66.7,9,0,9,10,5,4,11,51,28,24,9,15,6,40.0,9,3,33.3,9,7,77.8,12,4,8,6,3,12,12,Cholet Basket,Betclic Elite,21 A. Roberson,8 J. McNeace,7 N. De Sousa,12 M. Diawara,3 S. Smith,CB-21R,CB-8M,CB-7S,CB-12D,CB-3S,1040.0,111.76470588235294,54.90196078431373,56.86274509803921,78.46153846153847,117.6923076923077,-39.230769230769226,70.47477744807121,50.07153075822603,20.403246689845176,140.94955489614242,100.14306151645206,40.80649337969035
CB-2ICB-5CCB-11ACB-32VCB-12D,"2 C. Melvin III, 5 T. Campbell, 11 G. Ayayi, 32 B. Vautier, 12 M. Diawara",8,12:47,26,25,18,10,10,8,80.0,8,2,25.0,4,3,75.0,13,2,11,7,4,4,5,33,17,19,5,10,2,20.0,9,3,33.3,4,4,100.0,10,3,7,6,2,6,3,Cholet Basket,Betclic Elite,2 C. Melvin III,5 T. Campbell,11 G. Ayayi,32 B. Vautier,12 M. Diawara,CB-2I,CB-5C,CB-11A,CB-32V,CB-12D,767.0,96.15384615384616,51.515151515151516,44.638694638694645,81.35593220338983,103.25945241199477,-21.903520208604945,63.25910931174089,40.94412331406551,22.314985997675386,126.51821862348179,81.88824662813101,44.62997199535077
CB-25NCB-2ICB-32VCB-7SCB-3S,"25 C. Ndow, 2 C. Melvin III, 32 B. Vautier, 7 N. De Sousa, 3 S. Smith",-10,11:57,21,17,13,7,8,6,75.0,5,1,20.0,2,2,100.0,3,0,3,3,3,6,4,32,27,19,12,11,9,81.8,8,3,37.5,2,0,0.0,10,4,6,3,3,7,3,Cholet Basket,Betclic Elite,25 C. Ndow,2 C. Melvin III,32 B. Vautier,7 N. De Sousa,3 S. Smith,CB-25N,CB-2I,CB-32V,CB-7S,CB-3S,717.0,80.95238095238095,84.375,-3.422619047619051,70.2928870292887,107.11297071129707,-36.82008368200836,61.23919308357348,67.90744466800805,-6.6682515844345716,122.47838616714697,135.8148893360161,-13.336503168869143
CB-0WCB-8MCB-12DCB-22BCB-3S,"0 A. Wheeler, 8 J. McNeace, 12 M. Diawara, 22 S. Bracq, 3 S. Smith",0,11:00,28,21,17,10,15,9,60.0,2,1,50.0,0,0,0.0,9,3,6,7,2,5,4,27,21,18,8,11,4,36.4,7,4,57.1,2,1,50.0,7,3,4,5,4,5,5,Cholet Basket,Betclic Elite,0 A. Wheeler,8 J. McNeace,12 M. Diawara,22 S. Bracq,3 S. Smith,CB-0W,CB-8M,CB-12D,CB-22B,CB-3S,660.0,75.0,77.77777777777779,-2.7777777777777857,101.81818181818183,98.18181818181819,3.6363636363636402,61.76470588235294,55.61440677966102,6.150299102691925,123.52941176470588,111.22881355932203,12.30059820538385
CB-2ICB-8MCB-7SCB-12DCB-3S,"2 C. Melvin III, 8 J. McNeace, 7 N. De Sousa, 12 M. Diawara, 3 S. Smith",-4,10:19,19,18,15,8,9,7,77.8,6,1,16.7,4,1,25.0,6,0,6,7,2,1,7,23,22,13,7,6,4,66.7,7,3,42.9,6,5,83.3,7,0,7,6,1,3,3,Cholet Basket,Betclic Elite,2 C. Melvin III,8 J. McNeace,7 N. De Sousa,12 M. Diawara,3 S. Smith,CB-2I,CB-8M,CB-7S,CB-12D,CB-3S,619.0,94.73684210526315,95.65217391304348,-0.9153318077803334,73.66720516962843,89.17609046849758,-15.508885298869146,53.69928400954653,70.33248081841433,-16.633196808867794,107.39856801909306,140.66496163682865,-33.26639361773559
CB-21RCB-32VCB-7SCB-12DCB-3S,"21 A. Roberson, 32 B. Vautier, 7 N. De Sousa, 12 M. Diawara, 3 S. Smith",3,10:08,19,22,11,8,7,6,85.7,4,2,50.0,6,4,66.7,6,0,6,6,1,3,4,26,19,17,7,9,5,55.6,8,2,25.0,5,3,60.0,6,3,3,4,2,5,6,Cholet Basket,Betclic Elite,21 A. Roberson,32 B. Vautier,7 N. De Sousa,12 M. Diawara,3 S. Smith,CB-21R,CB-32V,CB-7S,CB-12D,CB-3S,608.0,115.78947368421053,73.07692307692307,42.71255060728747,75.0,102.63157894736842,-27.631578947368425,80.64516129032258,49.47916666666667,31.165994623655905,161.29032258064515,98.95833333333334,62.33198924731181
