id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,Rentabilite_possessions_equipe,Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,Rentabilite_temps_opp,Differentiel_rentabilite_temps,True_Shooting_equipe_%,True_Shooting_opp_%,Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,Differentiel_Pts_Tirs_Tentes
ELP-5KELP-66ZELP-7DELP-23FELP-24N,"5 L. Konate, 66 K. Zoriks, 7 D. Diawara, 23 I. Fevrier, 24 J. Nunge",0,51:54,112,95,78,35,46,28,60.9,32,7,21.9,21,18,85.7,40,11,29,21,8,14,26,128,95,82,33,47,22,46.8,35,11,31.4,22,18,81.8,48,18,30,18,10,12,25,ESSM Le Portel,Betclic Elite,5 L. Konate,66 K. Zoriks,7 D. Diawara,23 I. Fevrier,24 J. Nunge,ELP-5K,ELP-66Z,ELP-7D,ELP-23F,ELP-24N,3114.0,84.82142857142857,74.21875,10.60267857142857,86.3198458574181,98.65125240847783,-12.331406551059729,54.447501146263185,51.810645724258286,2.636855422004899,108.89500229252637,103.62129144851657,5.273710844009798
ELP-5KELP-4GELP-66ZELP-23FELP-24N,"5 L. Konate, 4 D. Gholston, 66 K. Zoriks, 23 I. Fevrier, 24 J. Nunge",11,50:51,118,99,81,36,46,26,56.5,35,10,28.6,19,17,89.5,42,13,29,21,9,14,16,118,88,87,39,65,30,46.2,22,9,40.9,9,1,11.1,44,16,28,27,12,12,24,ESSM Le Portel,Betclic Elite,5 L. Konate,4 D. Gholston,66 K. Zoriks,23 I. Fevrier,24 J. Nunge,ELP-5K,ELP-4G,ELP-66Z,ELP-23F,ELP-24N,3051.0,83.89830508474576,74.57627118644068,9.32203389830508,92.8220255653884,92.8220255653884,0.0,55.39391226499553,48.372911169744945,7.021001095250583,110.78782452999106,96.74582233948989,14.042002190501165
ELP-5KELP-4GELP-66ZELP-7DELP-24N,"5 L. Konate, 4 D. Gholston, 66 K. Zoriks, 7 D. Diawara, 24 J. Nunge",4,32:37,75,60,47,21,24,12,50.0,23,9,39.1,9,9,100.0,26,6,20,15,6,10,13,70,56,47,20,25,13,52.0,22,7,31.8,12,9,75.0,25,7,18,12,3,9,15,ESSM Le Portel,Betclic Elite,5 L. Konate,4 D. Gholston,66 K. Zoriks,7 D. Diawara,24 J. Nunge,ELP-5K,ELP-4G,ELP-66Z,ELP-7D,ELP-24N,1957.0,80.0,80.0,0.0,91.97751660705161,85.8456821665815,6.131834440470115,58.86970172684458,53.557765876052024,5.311935850792558,117.73940345368916,107.11553175210405,10.623871701585117
ELP-4GELP-66ZELP-7DELP-23FELP-24N,"4 D. Gholston, 66 K. Zoriks, 7 D. Diawara, 23 I. Fevrier, 24 J. Nunge",-4,22:20,43,37,29,13,14,7,50.0,15,6,40.0,6,5,83.3,14,0,14,6,4,4,9,45,41,32,14,18,9,50.0,14,5,35.7,13,8,61.5,20,3,17,11,2,5,9,ESSM Le Portel,Betclic Elite,4 D. Gholston,66 K. Zoriks,7 D. Diawara,23 I. Fevrier,24 J. Nunge,ELP-4G,ELP-66Z,ELP-7D,ELP-23F,ELP-24N,1340.0,86.04651162790698,91.11111111111111,-5.064599483204134,77.01492537313432,80.59701492537313,-3.5820895522388128,58.470290771175726,54.347826086956516,4.12246468421921,116.94058154235145,108.69565217391303,8.24492936843842
ELP-5KELP-4GELP-66ZELP-7DELP-23F,"5 L. Konate, 4 D. Gholston, 66 K. Zoriks, 7 D. Diawara, 23 I. Fevrier",-15,20:15,46,30,29,10,18,6,33.3,11,4,36.4,6,6,100.0,11,3,8,4,4,9,11,60,45,40,18,28,15,53.6,12,3,25.0,11,6,54.5,27,12,15,9,6,5,5,ESSM Le Portel,Betclic Elite,5 L. Konate,4 D. Gholston,66 K. Zoriks,7 D. Diawara,23 I. Fevrier,ELP-5K,ELP-4G,ELP-66Z,ELP-7D,ELP-23F,1215.0,65.21739130434783,75.0,-9.782608695652172,90.86419753086419,118.5185185185185,-27.654320987654316,47.40834386852086,50.178412132024974,-2.7700682635041147,94.81668773704172,100.35682426404995,-5.5401365270082295
ELP-5KELP-4GELP-66ZELP-24NELP-1P,"5 L. Konate, 4 D. Gholston, 66 K. Zoriks, 24 J. Nunge, 1 D. Pinckney",-13,18:01,42,20,25,8,14,6,42.9,11,2,18.2,3,2,66.7,14,5,9,6,4,11,9,43,33,28,15,20,12,60.0,8,3,37.5,1,0,0.0,15,4,11,10,7,6,5,ESSM Le Portel,Betclic Elite,5 L. Konate,4 D. Gholston,66 K. Zoriks,24 J. Nunge,1 D. Pinckney,ELP-5K,ELP-4G,ELP-66Z,ELP-24N,ELP-1P,1081.0,47.61904761904761,76.74418604651163,-29.125138427464016,93.24699352451434,95.46716003700277,-2.220166512488433,37.993920972644375,58.016877637130804,-20.02295666448643,75.98784194528875,116.03375527426161,-40.04591332897286
ELP-4GELP-66ZELP-9MELP-23FELP-24N,"4 D. Gholston, 66 K. Zoriks, 9 G. Meyniel, 23 I. Fevrier, 24 J. Nunge",9,12:43,28,33,20,10,10,5,50.0,10,5,50.0,11,8,72.7,12,3,9,5,0,2,4,27,24,21,8,11,5,45.5,10,3,30.0,6,5,83.3,9,3,6,7,2,2,7,ESSM Le Portel,Betclic Elite,4 D. Gholston,66 K. Zoriks,9 G. Meyniel,23 I. Fevrier,24 J. Nunge,ELP-4G,ELP-66Z,ELP-9M,ELP-23F,ELP-24N,763.0,117.85714285714286,88.88888888888889,28.968253968253975,88.07339449541286,84.92791612057667,3.1454783748361876,66.42512077294685,50.76142131979695,15.663699453149903,132.8502415458937,101.5228426395939,31.327398906299806
ELP-5KELP-15KELP-66ZELP-23FELP-24N,"5 L. Konate, 15 C. Kelly, 66 K. Zoriks, 23 I. Fevrier, 24 J. Nunge",0,11:22,20,27,14,9,9,8,88.9,5,1,20.0,10,8,80.0,7,0,7,6,0,1,3,28,27,23,11,16,9,56.3,7,2,28.6,3,3,100.0,7,2,5,6,1,1,7,ESSM Le Portel,Betclic Elite,5 L. Konate,15 C. Kelly,66 K. Zoriks,23 I. Fevrier,24 J. Nunge,ELP-5K,ELP-15K,ELP-66Z,ELP-23F,ELP-24N,682.0,135.0,96.42857142857143,38.57142857142857,70.38123167155426,98.53372434017595,-28.15249266862169,73.36956521739131,55.50986842105263,17.85969679633868,146.73913043478262,111.01973684210526,35.71939359267736
